City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,leer,53.2316,7.461,18.86,90,100,3.31,DE,1696187597
1,waitangi,-43.9535,-176.5597,12.68,90,17,2.24,NZ,1696187597
2,hithadhoo,-0.6,73.0833,27.86,73,46,6.0,MV,1696187419
3,qaqortoq,60.7167,-46.0333,3.05,82,100,2.14,GL,1696187597
4,kriva palanka,42.2019,22.3319,12.36,87,56,2.35,MK,1696187597
5,domna,51.8971,113.1573,0.09,86,100,1.0,RU,1696187597
6,vadso,70.0744,29.7487,6.49,81,75,2.57,NO,1696187430
7,jamestown,42.097,-79.2353,24.73,62,20,4.63,US,1696187483
8,puerto ayora,-0.7393,-90.3518,30.98,87,97,2.68,EC,1696187597
9,praia,14.9215,-23.5087,28.3,74,75,7.72,CV,1696187597
10,port-aux-francais,-49.35,70.2167,6.49,97,100,19.82,TF,1696187411
11,adamstown,-25.066,-130.1015,20.62,83,14,11.24,PN,1696187597
12,priozersk,61.0393,30.1291,13.95,78,100,4.03,RU,1696187598
13,leeton,-34.5667,146.4,11.16,56,0,2.82,AU,1696187598
14,okhotsk,59.3833,143.3,6.18,82,100,1.61,RU,1696187598
15,tieli,46.95,128.05,7.94,83,100,1.39,CN,1696187598
16,iqaluit,63.7506,-68.5145,3.85,80,75,3.09,CA,1696187598
17,saipan,15.1355,145.701,27.39,94,20,2.06,MP,1696187400
18,thompson,55.7435,-97.8558,5.09,93,100,3.09,CA,1696187598
19,dawson creek,55.7666,-120.2362,13.8,38,0,6.17,CA,1696187598
20,edinburgh of the seven seas,-37.0676,-12.3116,9.81,61,100,11.43,SH,1696187598
21,papatowai,-46.5619,169.4708,13.15,71,71,6.3,NZ,1696187598
22,mersing,2.4312,103.8405,23.95,94,20,3.09,MY,1696187598
23,grytviken,-54.2811,-36.5092,4.9,80,7,4.79,GS,1696187598
24,nadym,65.5333,72.5167,4.78,98,100,4.03,RU,1696187598
25,thunder bay,48.4001,-89.3168,16.95,100,100,7.2,CA,1696187481
26,shenzhen,22.5455,114.0683,29.56,79,100,4.63,CN,1696187510
27,albany,42.6001,-73.9662,26.05,60,0,0.89,US,1696187577
28,beyla,8.6833,-8.6333,22.14,91,100,1.07,GN,1696187599
29,blackmans bay,-43.0167,147.3167,7.07,90,14,2.69,AU,1696187599
30,isafjordur,66.0755,-23.124,6.41,93,100,7.64,IS,1696187599
31,katsuura,35.1333,140.3,22.96,73,50,8.98,JP,1696187599
32,bereket,39.2446,55.5154,19.24,20,1,4.32,TM,1696187599
33,olinda,-8.0089,-34.8553,27.85,61,20,5.66,BR,1696187599
34,kudahuvadhoo,2.6708,72.8944,27.57,78,100,3.77,MV,1696187599
35,bethel,41.3712,-73.414,26.05,62,0,3.09,US,1696187594
36,ushuaia,-54.8,-68.3,4.15,62,87,4.34,AR,1696187414
37,paranaiba,-19.6772,-51.1908,33.93,41,20,0.8,BR,1696187591
38,mont-laurier,46.5501,-75.4993,21.79,63,33,1.53,CA,1696187475
39,hermanus,-34.4187,19.2345,12.91,79,0,4.64,ZA,1696187599
40,chalastra,40.6286,22.7328,25.97,40,49,6.17,GR,1696187599
41,yellowknife,62.456,-114.3525,8.56,90,75,5.66,CA,1696187373
42,carnarvon,-24.8667,113.6333,19.69,62,100,7.87,AU,1696187599
43,olonkinbyen,70.9221,-8.7187,-0.38,88,100,5.0,SJ,1696187600
44,fortuna,40.5982,-124.1573,18.53,71,0,5.14,US,1696187600
45,piacabucu,-10.4056,-36.4344,26.05,63,5,4.29,BR,1696187600
46,corinto,37.9407,22.9573,20.5,49,0,1.5,GR,1696187600
47,portland,45.5234,-122.6762,19.41,65,20,2.06,US,1696187376
48,reggane,26.7158,0.1714,34.81,15,0,4.83,DZ,1696187600
49,buala,-8.145,159.5921,26.09,85,73,3.8,SB,1696187600
50,sao vicente,-23.9631,-46.3919,24.1,62,100,3.09,BR,1696187600
51,stanley,54.868,-1.6985,14.33,88,40,1.03,GB,1696187600
52,mugia,43.1041,-9.2179,21.06,83,51,2.7,ES,1696187600
53,longyearbyen,78.2186,15.6401,-4.09,58,75,7.2,SJ,1696187600
54,bikenibeu village,1.3673,173.1241,26.98,94,20,0.0,KI,1696187600
55,afif,23.9065,42.9172,28.15,13,0,5.36,SA,1696187600
56,gilgit,35.9221,74.3087,20.27,36,3,0.96,PK,1696187600
57,princeville,45.7668,-61.2985,21.46,60,0,2.57,CA,1696187601
58,whitehorse,60.7161,-135.0538,5.43,88,75,9.77,CA,1696187601
59,chonchi,-42.6128,-73.8092,8.4,97,100,0.66,CL,1696187601
60,coquimbo,-29.9533,-71.3436,14.85,77,100,4.63,CL,1696187597
61,talnakh,69.4865,88.3972,-12.58,92,21,2.53,RU,1696187423
62,invercargill,-46.4,168.35,13.9,80,20,4.92,NZ,1696187601
63,kavieng,-2.5744,150.7967,26.77,83,16,2.05,PG,1696187601
64,ust-nera,64.5667,143.2,-2.1,62,25,3.13,RU,1696187601
65,eydhafushi,5.1033,73.0708,27.4,78,100,4.2,MV,1696187601
66,port mathurin,-19.6833,63.4167,23.24,75,1,8.42,MU,1696187601
67,hamilton,39.1834,-84.5333,29.55,52,0,3.6,US,1696187534
68,mount isa,-20.7333,139.5,14.87,51,0,2.06,AU,1696187462
69,iskateley,67.6803,53.1512,10.57,96,100,3.58,RU,1696187601
70,margaret river,-33.95,115.0667,11.07,69,100,11.4,AU,1696187601
71,port elizabeth,-33.918,25.5701,16.16,71,0,5.14,ZA,1696187601
72,san andres,12.5847,-81.7006,31.01,74,20,2.06,CO,1696187601
73,colby,39.3958,-101.0524,28.38,38,0,15.95,US,1696187430
74,ribeira grande,38.5167,-28.7,21.22,60,75,2.68,PT,1696187601
75,kilindoni,-7.9139,39.6668,25.12,80,0,5.39,TZ,1696187601
76,bredasdorp,-34.5322,20.0403,12.0,81,0,4.13,ZA,1696187602
77,vallenar,-28.5708,-70.7581,19.22,24,0,4.65,CL,1696187602
78,nar'yan-mar,67.6713,53.087,10.62,96,100,3.58,RU,1696187451
79,puerto natales,-51.7236,-72.4875,2.25,87,100,9.26,CL,1696187602
80,lamu,-2.2717,40.902,24.12,75,1,5.93,KE,1696187376
81,afaahiti,-17.75,-149.2833,25.93,86,41,8.55,PF,1696187435
82,gadzhiyevo,69.2551,33.3362,6.08,80,98,7.72,RU,1696187602
83,egilsstadir,65.2653,-14.3948,5.95,100,75,5.66,IS,1696187602
84,kitimat,54.0524,-128.6534,10.21,62,100,0.45,CA,1696187602
85,codrington,-38.2667,141.9667,4.79,92,1,3.69,AU,1696187441
86,moshi,-3.35,37.3333,22.01,71,6,2.48,TZ,1696187602
87,al bawiti,28.3492,28.8659,26.4,32,93,3.61,EG,1696187602
88,mushie,-3.0167,16.9,24.91,83,56,1.05,CD,1696187602
89,la libertad,-2.2333,-80.9,28.81,61,75,5.14,EC,1696187602
90,carangola,-20.7331,-42.0294,29.13,52,79,2.47,BR,1696187602
91,albertina,-22.2008,-46.6158,20.67,89,100,1.48,BR,1696187602
92,kepsut,39.6889,28.1522,19.08,89,100,2.36,TR,1696187603
93,pervomays'kyy,49.3874,36.2147,18.61,32,58,2.76,UA,1696187603
94,margate,51.3813,1.3862,18.72,79,100,1.34,GB,1696187603
95,gbadolite,4.2833,21.0167,24.65,86,19,0.86,CD,1696187603
96,les avirons,-21.2418,55.3394,21.03,78,0,3.09,RE,1696187603
97,fort bragg,35.139,-79.006,27.12,57,40,4.12,US,1696187603
98,west island,-12.1568,96.8225,24.99,78,75,8.23,CC,1696187603
99,vila velha,-20.3297,-40.2925,22.97,86,40,3.6,BR,1696187325
100,bamboo flat,11.7,92.7167,26.05,89,75,1.03,IN,1696187603
101,constantia,44.1833,28.65,18.38,54,95,5.85,RO,1696187603
102,acapulco de juarez,16.8634,-99.8901,31.9,70,75,2.57,MX,1696187389
103,kapa'a,22.0752,-159.319,27.99,76,40,5.66,US,1696187603
104,andergrove,-21.0833,149.1833,19.25,82,48,4.23,AU,1696187603
105,lihue,21.9789,-159.3672,27.58,77,40,5.66,US,1696187604
106,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,100,100,2.0,RU,1696187442
107,la passe,45.5549,-0.8967,26.13,54,11,2.3,FR,1696187412
108,klyuchi,52.2667,79.1667,6.56,87,0,2.11,RU,1696187604
109,flying fish cove,-10.4217,105.6791,23.82,88,75,5.14,CX,1696187604
110,pico truncado,-46.7949,-67.9573,14.46,21,100,5.96,AR,1696187457
111,ilulissat,69.2167,-51.1,0.01,59,20,1.54,GL,1696187604
112,taoudenni,22.6783,-3.9836,35.97,10,82,2.42,ML,1696187604
113,kuanda,56.3161,116.0806,5.86,70,100,1.9,RU,1696187604
114,bilibino,68.0546,166.4372,-4.47,89,100,0.14,RU,1696187604
